DJIAch,Date,Nik225ch,Up,lagNik
-39,6-Aug-09,136,1,-122
-25,7-Aug-09,24,1,136
114,10-Aug-09,112,1,24
-32,11-Aug-09,61,1,112
-97,12-Aug-09,-150,0,61
120,13-Aug-09,82,1,-150
37,14-Aug-09,80,1,82
-77,17-Aug-09,-329,0,80
-186,18-Aug-09,16,1,-329
83,19-Aug-09,-81,0,16
61,20-Aug-09,179,1,-81
71,21-Aug-09,-145,0,179
156,24-Aug-09,343,1,-145
3,25-Aug-09,-84,0,343
30,26-Aug-09,142,1,-84
4,27-Aug-09,-166,0,142
37,28-Aug-09,60,1,-166
-36,31-Aug-09,-42,0,60
-48,1-Sep-09,38,1,-42
-186,2-Sep-09,-250,0,38
-30,3-Sep-09,-66,0,-250
64,4-Sep-09,-28,0,-66
97,7-Sep-09,134,1,-28
56,9-Sep-09,-81,0,72
50,10-Sep-09,202,1,-81
80,11-Sep-09,-69,0,202
-22,14-Sep-09,-242,0,-69
21,15-Sep-09,16,1,-242
57,16-Sep-09,53,1,16
108,17-Sep-09,173,1,53
-8,18-Sep-09,-73,0,173
-41,25-Sep-09,-278,0,174
-42,28-Sep-09,-256,0,-278
124,29-Sep-09,91,1,-256
-47,30-Sep-09,33,1,91
-30,1-Oct-09,-155,0,33
-203,2-Oct-09,-247,0,-155
-22,5-Oct-09,-57,0,-247
112,6-Oct-09,17,1,-57
132,7-Oct-09,108,1,17
-6,8-Oct-09,33,1,108
61,9-Oct-09,184,1,33
-15,14-Oct-09,-16,0,60
145,15-Oct-09,178,1,-16
47,16-Oct-09,19,1,178
-67,19-Oct-09,-21,0,19
96,20-Oct-09,100,1,-21
-51,21-Oct-09,-3,0,100
-92,22-Oct-09,-66,0,-3
132,23-Oct-09,16,1,-66
-109,26-Oct-09,80,1,16
-104,27-Oct-09,-150,0,80
14,28-Oct-09,-137,0,-150
-119,29-Oct-09,-184,0,-137
200,30-Oct-09,144,1,-184
-250,2-Nov-09,-232,0,144
