Discount,Store,Display,Sales,Price
5.00%,1,Featured End of Aisl,240,8.96
5.00%,1,Featured Middle of A,264,9.19
5.00%,1,Not Featured,192,8.46
5.00%,2,Featured End of Aisl,216,8.58
5.00%,2,Featured Middle of A,174,8.31
5.00%,2,Not Featured,264,9.3
5.00%,3,Featured End of Aisl,176,8.04
5.00%,3,Featured Middle of A,220,8.8
5.00%,3,Not Featured,171,8.03
5.00%,4,Featured End of Aisl,199,8.39
5.00%,4,Featured Middle of A,180,8.17
5.00%,4,Not Featured,146,7.76
10.00%,5,Featured End of Aisl,244,8.91
10.00%,5,Featured Middle of A,173,8.07
10.00%,5,Not Featured,225,8.76
10.00%,6,Featured End of Aisl,252,8.99
10.00%,6,Featured Middle of A,192,8.29
10.00%,6,Not Featured,270,9.25
10.00%,7,Featured End of Aisl,202,8.37
10.00%,7,Featured Middle of A,261,9.15
10.00%,7,Not Featured,225,8.64
10.00%,8,Featured End of Aisl,179,8.06
10.00%,8,Featured Middle of A,222,8.59
10.00%,8,Not Featured,168,8.03
15.00%,9,Featured End of Aisl,234,8.73
15.00%,9,Featured Middle of A,233,8.78
15.00%,9,Not Featured,162,7.91
15.00%,10,Featured End of Aisl,220,8.49
15.00%,10,Featured Middle of A,209,8.41
15.00%,10,Not Featured,258,9.02
15.00%,11,Featured End of Aisl,215,8.5
15.00%,11,Featured Middle of A,199,8.22
15.00%,11,Not Featured,242,8.82
15.00%,12,Featured End of Aisl,179,8.11
15.00%,12,Featured Middle of A,206,8.37
15.00%,12,Not Featured,206,8.42
