State,Senator,Party,ConfVote,StateOpinion
Alabama,Howell Heflin,D,Nay,70
Alabama,Richard Shelby,D,Yea,70
Alaska,Ted Stevens,R,Yea,68
Alaska,Frank Murkowski,R,Yea,68
Arizona,Dennis DeConcini,D,Yea,67
Arizona,John McCain,R,Yea,67
Arkansas,Dale Bumpers,D,Nay,69
Arkansas,David Pryor,D,Nay,69
California,Alan Cranston,D,Nay,60
California,John F. Seymour,R,Yea,60
Colorado,Hank Brown,R,Yea,62
Colorado,Tim Wirth,D,Nay,62
Connecticut,Chris Dodd,D,Nay,69
Connecticut,Joe Lieberman,D,Nay,69
Delaware,Joe Biden,D,Nay,69
Delaware,William V. Roth Jr.,R,Yea,69
Florida,Bob Graham,D,Nay,71
Florida,Connie Mack III,R,Yea,71
Georgia,Sam Nunn,D,Yea,72
Georgia,Wyche Fowler,D,Yea,72
Hawaii,Daniel Inouye,D,Nay,59
Hawaii,Daniel Akaka,D,Nay,59
Idaho,Steve Symms,R,Yea,68
Idaho,Larry Craig,R,Yea,68
Illinois,Paul Simon,D,Nay,69
Illinois,Alan J. Dixon,D,Yea,69
Indiana,Richard Lugar,R,Yea,74
Indiana,Dan Coats,R,Yea,74
Iowa,Chuck Grassley,R,Yea,65
Iowa,Tom Harkin,D,Nay,65
Kansas,Bob Dole,R,Yea,72
Kansas,Nancy Landon Kassebaum,R,Yea,72
Kentucky,Wendell H. Ford,D,Nay,69
Kentucky,Mitch McConnell,R,Yea,69
Louisiana,J. Bennett Johnston,D,Yea,71
Louisiana,John Breaux,D,Yea,71
Maine,William Cohen,R,Yea,71
Maine,George J. Mitchell,D,Nay,71
Maryland,Paul Sarbanes,D,Nay,67
Maryland,Barbara Mikulski,D,Nay,67
Massachusetts,Ted Kennedy,D,Nay,65
Massachusetts,John Kerry,D,Nay,65
Michigan,Carl Levin,D,Nay,71
Michigan,Donald W. Riegle Jr.,D,Nay,71
Minnesota,David Durenberger,R,Yea,71
Minnesota,Paul Wellstone,D,Nay,71
Mississippi,Thad Cochran,R,Yea,73
Mississippi,Trent Lott,R,Yea,73
Missouri,John Danforth,R,Yea,67
Missouri,Kit Bond,R,Yea,67
Montana,Max Baucus,D,Nay,63
Montana,Conrad Burns,R,Yea,63
Nebraska,J. James Exon,D,Yea,73
Nebraska,Bob Kerrey,D,Nay,73
Nevada,Harry Reid,D,Nay,66
Nevada,Richard Bryan,D,Nay,66
New Hampshire,Warren Rudman,R,Yea,73
New Hampshire,Bob Smith,R,Yea,73
New Jersey,Frank Lautenberg,D,Nay,70
New Jersey,Bill Bradley,D,Nay,70
New Mexico,Peter Domenici,R,Yea,62
New Mexico,Jeff Bingaman,D,Nay,62
New York,Daniel Patrick Moynihan,D,Nay,68
New York,Al D'Amato,R,Yea,68
North Carolina,Jesse Helms,R,Yea,70
North Carolina,Terry Sanford,D,Nay,70
North Dakota,Kent Conrad,D,Nay,71
North Dakota,Quentin N. Burdick,D,Nay,71
Ohio,John Glenn,D,Nay,72
Ohio,Howard Metzenbaum,D,Nay,72
Oklahoma,Don Nickles,R,Yea,69
Oklahoma,David L. Boren,D,Yea,69
Oregon,Bob Packwood,R,Nay,61
Oregon,Mark Hatfield,R,Yea,61
Pennsylvania,Arlen Specter,R,Yea,70
Pennsylvania,Harris Wofford,D,Nay,70
Rhode Island,John Chafee,R,Yea,65
Rhode Island,Claiborne Pell,D,Nay,65
South Carolina,Strom Thurmond,R,Yea,74
South Carolina,Ernest Hollings,D,Yea,74
South Dakota,Tom Daschle,D,Nay,70
South Dakota,Larry Pressler,R,Yea,70
Tennessee,Al Gore,D,Nay,70
Tennessee,Jim Sasser,D,Nay,70
Texas,Lloyd Bentsen,D,Nay,69
Texas,Phil Gramm,R,Yea,69
Utah,Orrin Hatch,R,Yea,72
Utah,Jake Garn,R,Yea,72
Vermont,Patrick Leahy,D,Nay,68
Vermont,Jim Jeffords,R,Nay,68
Virginia,John Warner,R,Yea,70
Virginia,Chuck Robb,D,Yea,70
Washington,Brock Adams,D,Nay,61
Washington,Slade Gorton,R,Yea,61
West Virginia,Robert Byrd,D,Nay,66
West Virginia,Jay Rockefeller,D,Nay,66
Wisconsin,Herb Kohl,D,Nay,69
Wisconsin,Bob Kasten,R,Yea,69
Wyoming,Malcolm Wallop,R,Yea,67
Wyoming,Alan K. Simpson,R,Yea,67
