Pulse,Time,Day
74,morning,Day1
72,morning,Day2
72,morning,Day3
71,morning,Day4
69,morning,Day5
74,morning,Day6
74,morning,Day7
73,morning,Day8
74,morning,Day9
72,morning,Day10
74,morning,Day11
71,morning,Day12
70,morning,Day13
69,morning,Day14
69,morning,Day15
74,morning,Day16
68,morning,Day17
74,morning,Day18
73,morning,Day19
74,morning,Day20
74,morning,Day21
71,morning,Day22
73,morning,Day23
72,morning,Day24
73,morning,Day25
74,morning,Day26
74,noon,Day1
72,noon,Day2
71,noon,Day3
72,noon,Day4
74,noon,Day5
73,noon,Day6
78,noon,Day7
69,noon,Day8
74,noon,Day9
73,noon,Day10
71,noon,Day11
73,noon,Day12
74,noon,Day13
78,noon,Day14
78,noon,Day15
76,noon,Day16
74,noon,Day17
75,noon,Day18
75,noon,Day19
75,noon,Day20
71,noon,Day21
79,noon,Day22
75,noon,Day23
78,noon,Day24
72,noon,Day25
74,noon,Day26
75,one,Day1
77,one,Day2
77,one,Day3
76,one,Day4
75,one,Day5
78,one,Day6
72,one,Day7
76,one,Day8
76,one,Day9
75,one,Day10
74,one,Day11
73,one,Day12
74,one,Day13
77,one,Day14
75,one,Day15
77,one,Day16
74,one,Day17
76,one,Day18
77,one,Day19
77,one,Day20
74,one,Day21
75,one,Day22
75,one,Day23
76,one,Day24
75,one,Day25
74,one,Day26
78,evening,Day1
77,evening,Day2
77,evening,Day3
76,evening,Day4
78,evening,Day5
77,evening,Day6
74,evening,Day7
78,evening,Day8
77,evening,Day9
77,evening,Day10
76,evening,Day11
72,evening,Day12
72,evening,Day13
77,evening,Day14
76,evening,Day15
75,evening,Day16
73,evening,Day17
77,evening,Day18
72,evening,Day19
74,evening,Day20
76,evening,Day21
77,evening,Day22
78,evening,Day23
77,evening,Day24
76,evening,Day25
71,evening,Day26
